赛事,比赛时间,主队,比分,客队,赛果,? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?,澳门盘口,盘路,大小,分析
英超,2018/5/13,西汉姆,3:1 (1:0),埃弗顿,胜,2.303.383.12,平手/半球,赢,大,析
英超,2018/5/11,西汉姆,0:0?(0:0),曼 联,平,4.433.741.80,受半球/一球,赢,小,析
英超,2018/5/5,莱切城,0:2?(0:1),西汉姆,胜,2.263.383.21,平手/半球,赢,小,析
英超,2018/4/29,西汉姆,1:4?(1:2),曼 城,负,9.205.551.32,受球半,输,大,析
英超,2018/4/22,阿森纳,4:1 (0:0),西汉姆,负,1.494.536.41,一球/球半,输,大,析
英超,2018/4/17,西汉姆,1:1?(0:0),斯托克,平,1.973.414.03,半球,输,小,析
英超,2018/4/8,切尔西,1:1?(1:0),西汉姆,平,1.285.6510.90,球半,赢,小,析
英超,2018/3/31,西汉姆,3:0 (3:0),南安普,胜,3.003.212.55,平手,赢,大,析
英超,2018/3/10,西汉姆,0:3?(0:0),伯恩利,负,2.213.133.60,平手/半球,输,大,析
英超,2018/3/3,斯旺西,4:1 (2:0),西汉姆,负,2.553.103.02,平手,输,大,析
英超,2018/2/24,利物浦,4:1 (1:0),西汉姆,负,1.216.8112.80,两球,输,大,析
英超,2018/2/10,西汉姆,2:0 (1:0),沃特福,胜,2.393.283.05,平手/半球,赢,小,析
英超,2018/2/3,布赖顿,3:1 (1:1),西汉姆,负,2.293.013.54,平手/半球,输,大,析
英超,2018/1/31,西汉姆,1:1?(1:1),水晶宫,平,2.943.212.52,受平手/半球,赢半,小,析
英足总杯,2018/1/27,维 冈,2:0 (1:0),西汉姆,负,2.423.132.98,平手,输,小,析
英超,2018/1/20,西汉姆,1:1?(0:0),伯恩茅,平,2.153.403.44,平手/半球,输半,小,析
英足总杯,2018/1/17,西汉姆,0:0?(0:0),什鲁斯,平,1.553.786.46,一球,输,小,析
英超,2018/1/13,哈德斯,1:4?(1:1),西汉姆,胜,2.723.062.81,平手,赢,大,析
英足总杯,2018/1/7,什鲁斯,0:0?(0:0),西汉姆,平,3.643.192.10,受半球,输,小,析
英超,2018/1/5,热 刺,1:1?(0:0),西汉姆,平,1.285.6910.49,球半,赢,小,析
英超,2018/1/3,西汉姆,2:1 (0:1),西布罗,胜,2.063.174.02,半球,赢,大,析
