,比赛日期,主队,比分,客队
0,2003-08-17 23:05,利物浦,1-2,切尔西
1,2003-08-17 21:00,查尔顿,0-3,曼城
2,2003-08-17 21:00,利兹,2-2,纽卡斯
3,2003-08-16 22:00,莱切城,2-2,南安普
4,2003-08-16 22:00,富勒姆,3-2,米德尔
5,2003-08-16 22:00,曼联,4-0,博尔顿
6,2003-08-16 22:00,布莱克本,5-1,狼队
7,2003-08-16 22:00,阿森纳,2-1,埃弗顿
8,2003-08-16 19:30,朴茨茅,2-1,维拉
9,2003-08-16 19:00,伯明翰,1-0,热刺
10,2003-08-24 23:05,米德尔,0-4,阿森纳
11,2003-08-24 21:00,维拉,0-0,利物浦
12,2003-08-23 22:00,狼队,0-4,查尔顿
13,2003-08-23 22:00,热刺,2-1,利兹
14,2003-08-23 22:00,南安普,0-0,伯明翰
15,2003-08-23 22:00,曼城,1-1,朴茨茅
16,2003-08-23 22:00,埃弗顿,3-1,富勒姆
17,2003-08-23 22:00,切尔西,2-1,莱切城
18,2003-08-23 22:00,博尔顿,2-2,布莱克本
19,2003-08-23 19:00,纽卡斯,1-2,曼联
20,2003-10-22 02:45,富勒姆,2-3,纽卡斯
21,2003-10-15 02:45,伯明翰,0-0,切尔西
22,2003-08-28 03:00,曼联,1-0,狼队
23,2003-08-28 03:00,利物浦,0-0,热刺
24,2003-08-28 02:45,阿森纳,2-0,维拉
25,2003-08-27 03:00,查尔顿,2-2,埃弗顿
26,2003-08-27 02:45,朴茨茅,4-0,博尔顿
27,2003-08-27 02:45,莱切城,0-0,米德尔
28,2003-08-27 02:45,利兹,0-0,南安普
29,2003-08-26 03:00,布莱克本,2-3,曼城
30,2003-08-31 23:05,曼城,1-2,阿森纳
31,2003-08-31 21:00,南安普,1-0,曼联
32,2003-08-30 22:00,狼队,0-0,朴茨茅
33,2003-08-30 22:00,热刺,0-3,富勒姆
34,2003-08-30 22:00,纽卡斯,0-1,伯明翰
35,2003-08-30 22:00,米德尔,2-3,利兹
36,2003-08-30 22:00,切尔西,2-2,布莱克本
37,2003-08-30 22:00,博尔顿,0-0,查尔顿
38,2003-08-30 22:00,维拉,3-1,莱切城
39,2003-08-30 19:30,埃弗顿,0-3,利物浦
40,2003-09-16 03:00,莱切城,4-0,利兹
41,2003-09-14 23:05,伯明翰,2-2,富勒姆
42,2003-09-14 21:00,曼城,4-1,维拉
43,2003-09-13 22:00,南安普,2-0,狼队
44,2003-09-13 22:00,埃弗顿,2-2,纽卡斯
45,2003-09-13 22:00,切尔西,4-2,热刺
46,2003-09-13 22:00,查尔顿,0-2,曼联
47,2003-09-13 22:00,博尔顿,2-0,米德尔
48,2003-09-13 22:00,布莱克本,1-3,利物浦
49,2003-09-13 22:00,阿森纳,1-1,朴茨茅
50,2003-10-21 03:00,布莱克本,0-1,查尔顿
51,2003-09-21 23:05,曼联,0-0,阿森纳
52,2003-09-21 21:00,米德尔,1-0,埃弗顿
53,2003-09-20 22:00,热刺,1-3,南安普
54,2003-09-20 22:00,纽卡斯,0-0,博尔顿
55,2003-09-20 22:00,利兹,0-2,伯明翰
56,2003-09-20 22:00,维拉,2-1,查尔顿
57,2003-09-20 22:00,朴茨茅,1-2,布莱克本
58,2003-09-20 22:00,利物浦,2-1,莱切城
59,2003-09-20 22:00,富勒姆,2-2,曼城
60,2003-09-20 19:30,狼队,0-5,切尔西
61,2003-09-28 23:05,曼城,0-0,热刺
62,2003-09-28 22:00,埃弗顿,4-0,利兹
63,2003-09-28 22:00,布莱克本,0-2,富勒姆
64,2003-09-28 21:00,查尔顿,3-2,利物浦
65,2003-09-27 22:00,切尔西,1-0,维拉
66,2003-09-27 22:00,博尔顿,1-1,狼队
67,2003-09-27 22:00,伯明翰,2-0,朴茨茅
68,2003-09-27 22:00,南安普,0-1,米德尔
69,2003-09-27 22:00,莱切城,1-4,曼联
70,2003-09-27 03:00,阿森纳,3-2,纽卡斯
71,2003-10-05 23:05,维拉,1-1,博尔顿
72,2003-10-05 21:00,米德尔,1-2,切尔西
73,2003-10-04 22:00,狼队,1-0,曼城
74,2003-10-04 22:00,热刺,3-0,埃弗顿
75,2003-10-04 22:00,朴茨茅,1-2,查尔顿
76,2003-10-04 22:00,纽卡斯,1-0,南安普
77,2003-10-04 22:00,曼联,3-0,伯明翰
78,2003-10-04 22:00,利兹,2-1,布莱克本
79,2003-10-04 22:00,富勒姆,2-0,莱切城
