id,team_id,team_name,home_team,visiting_team,type,time,result,foul,yellow_card,red_card,possession,shot,pass,pass_rate,most,score,create_time,update_time
74,1,俄罗斯,俄罗斯,西班牙,国际友谊,2017/11/15 02:45:00,3-3,16,0,0,0.37,11(5),0(0),0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22
75,1,俄罗斯,俄罗斯,阿根廷,国际友谊,2017/11/11 21:00:00,0-1,13,0,0,0.33,3(1),0(0),0,0,2,2018/3/9 09:42:22,2018/3/9 09:42:22
76,1,俄罗斯,俄罗斯,伊朗,国际友谊,2017/10/10 23:59:00,1-1,16,0,0,0.63,10(6),0(0),0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22
77,1,俄罗斯,俄罗斯,韩国,国际友谊,2017/10/7 22:00:00,4-2,13,2,0,0.48,7(5),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
78,1,俄罗斯,俄罗斯,莫斯科迪纳摩,球会友谊,2017/9/3 22:30:00,3-0,0,0,0,0.48,12(4),0(0),0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22
79,1,俄罗斯,俄罗斯,墨西哥,洲际杯,2017/6/24 23:00:00,1-2,20,5,1,0.4,10(2),0(0),0,0,0,2018/3/9 09:42:22,2018/3/9 09:42:22
80,1,俄罗斯,俄罗斯,葡萄牙,洲际杯,2017/6/21 23:00:00,0-1,13,3,0,0.49,7(0),0(0),0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22
81,1,俄罗斯,俄罗斯,新西兰,洲际杯,2017/6/17 23:00:00,2-0,14,0,0,0.53,13(5),0(0),0,0,12,2018/3/9 09:42:22,2018/3/9 09:42:22
82,1,俄罗斯,俄罗斯,智利,国际友谊,2017/6/9 23:59:00,1-1,16,1,0,0.39,8(4),0(0),0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22
83,1,俄罗斯,匈牙利,俄罗斯,国际友谊,2017/6/6 02:30:00,0-3,19,2,0,0.37,8(4),0(0),0,0,1,2018/3/9 09:42:22,2018/3/9 09:42:22
84,1,俄罗斯,俄罗斯,比利时,国际友谊,2017/3/28 23:59:00,3-3,12,0,0,0.34,9(4),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
85,1,俄罗斯,俄罗斯,科特迪瓦,国际友谊,2017/3/24 23:59:00,0-2,15,1,0,0.55,12(4),0(0),0,0,8,2018/3/9 09:42:22,2018/3/9 09:42:22
86,1,俄罗斯,俄罗斯,罗马尼亚,国际友谊,2016/11/15 23:59:00,1-0,7,0,0,0.5,11(4),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
87,1,俄罗斯,卡塔尔,俄罗斯,国际友谊,2016/11/10 23:59:00,2-1,13,0,0,0.53,9(3),0(0),0,0,5,2018/3/9 09:42:22,2018/3/9 09:42:22
88,1,俄罗斯,俄罗斯,哥斯达黎加,国际友谊,2016/10/9 21:00:00,3-4,12,1,0,0.51,10(7),0(0),0,0,7,2018/3/9 09:42:22,2018/3/9 09:42:22
89,1,俄罗斯,俄罗斯,加纳,国际友谊,2016/9/6 23:59:00,1-0,16,1,0,0.44,11(5),0(0),0,0,2,2018/3/9 09:42:22,2018/3/9 09:42:22
90,1,俄罗斯,土耳其,俄罗斯,国际友谊,2016/9/1 02:30:00,0-0,13,1,0,0.43,6(2),0(0),0,0,1,2018/3/9 09:42:22,2018/3/9 09:42:22
91,1,俄罗斯,俄罗斯,威尔士,欧洲杯,2016/6/21 03:00:00,0-3,9,1,0,0.51,12(3),435(356),0.82,1,4,2018/3/9 09:42:22,2018/3/9 09:42:22
92,1,俄罗斯,俄罗斯,斯洛伐克,欧洲杯,2016/6/15 21:00:00,1-2,8,0,0,0.65,15(2),557(474),0.85,1,6,2018/3/9 09:42:22,2018/3/9 09:42:22
93,1,俄罗斯,英格兰,俄罗斯,欧洲杯,2016/6/12 03:00:00,1-1,16,1,0,0.46,6(2),413(319),0.77,1,4,2018/3/9 09:42:22,2018/3/9 09:42:22
94,1,俄罗斯,塞尔维亚,俄罗斯,国际友谊,2016/6/5 23:59:00,1-1,14,0,0,0.54,9(5),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
95,1,俄罗斯,捷克,俄罗斯,国际友谊,2016/6/1 23:59:00,2-1,12,0,0,0.58,7(4),0(0),0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22
96,1,俄罗斯,法国,俄罗斯,国际友谊,2016/3/30 03:00:00,4-2,16,3,0,0.45,3(2),434(348),0.8,1,1,2018/3/9 09:42:22,2018/3/9 09:42:22
97,1,俄罗斯,俄罗斯,立陶宛,国际友谊,2016/3/26 23:59:00,3-0,7,1,0,0.63,10(4),0(0),0,0,6,2018/3/9 09:42:22,2018/3/9 09:42:22
98,1,俄罗斯,俄罗斯,克罗地亚,国际友谊,2015/11/17 23:59:00,1-3,0,0,0,0,0(0),0(0),0,0,2,2018/3/9 09:42:22,2018/3/9 09:42:22
99,1,俄罗斯,俄罗斯,葡萄牙,国际友谊,2015/11/14 22:00:00,1-0,0,1,0,0,0(0),0(0),0,0,6,2018/3/9 09:42:22,2018/3/9 09:42:22
100,1,俄罗斯,俄罗斯,黑山,欧洲杯,2015/10/12 23:59:00,2-0,5,0,0,0.69,16(7),0(0),0,0,5,2018/3/9 09:42:22,2018/3/9 09:42:22
101,1,俄罗斯,摩尔多瓦,俄罗斯,欧洲杯,2015/10/10 02:45:00,1-2,9,2,0,0.62,15(6),0(0),0,0,7,2018/3/9 09:42:22,2018/3/9 09:42:22
102,1,俄罗斯,列支敦士登,俄罗斯,欧洲杯,2015/9/9 02:45:00,0-7,11,0,0,0.5,27(13),0(0),0,0,8,2018/3/9 09:42:22,2018/3/9 09:42:22
103,1,俄罗斯,俄罗斯,瑞典,欧洲杯,2015/9/5 23:59:00,1-0,16,2,0,0.5,11(6),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
104,1,俄罗斯,俄罗斯,奥地利,欧洲杯,2015/6/14 23:59:00,0-1,11,1,0,0.5,13(6),0(0),0,0,7,2018/3/9 09:42:22,2018/3/9 09:42:22
105,1,俄罗斯,俄罗斯,白俄罗斯,国际友谊,2015/6/7 23:00:00,4-2,0,1,0,0,0(0),0(0),0,0,0,2018/3/9 09:42:22,2018/3/9 09:42:22
106,1,俄罗斯,俄罗斯,哈萨克斯坦,国际友谊,2015/4/1 01:00:00,0-0,0,0,0,0,0(0),0(0),0,0,7,2018/3/9 09:42:22,2018/3/9 09:42:22
107,1,俄罗斯,黑山,俄罗斯,欧洲杯,2015/3/28 03:45:00,0-3,10,2,0,0.41,7(4),0(0),0,0,7,2018/3/9 09:42:22,2018/3/9 09:42:22
108,1,俄罗斯,匈牙利,俄罗斯,国际友谊,2014/11/19 03:30:00,1-2,0,1,0,0,0(0),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
109,1,俄罗斯,奥地利,俄罗斯,欧洲杯,2014/11/16 01:00:00,1-0,0,2,0,0,0(0),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
110,1,俄罗斯,俄罗斯,摩尔多瓦,欧洲杯,2014/10/12 23:59:00,1-1,0,0,0,0,0(0),0(0),0,0,8,2018/3/9 09:42:22,2018/3/9 09:42:22
111,1,俄罗斯,瑞典,俄罗斯,欧洲杯,2014/10/10 02:45:00,1-1,0,2,0,0,0(0),0(0),0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22
112,1,俄罗斯,俄罗斯,列支敦士登,欧洲杯,2014/9/8 23:59:00,4-0,11,0,0,0.66,24(12),0(0),0,0,10,2018/3/9 09:42:22,2018/3/9 09:42:22
113,1,俄罗斯,俄罗斯,阿塞拜疆,国际友谊,2014/9/3 23:00:00,4-0,0,0,0,0,0(0),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
114,1,俄罗斯,阿尔及利亚,俄罗斯,世界杯,2014/6/27 04:00:00,1-1,14,2,0,0.53,10(7),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
115,1,俄罗斯,比利时,俄罗斯,世界杯,2014/6/23 00:00:00,1-0,9,1,0,0.47,13(6),0(0),0,0,8,2018/3/9 09:42:22,2018/3/9 09:42:22
116,1,俄罗斯,俄罗斯,韩国,世界杯,2014/6/18 06:00:00,1-1,15,1,0,0.48,16(10),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
117,1,俄罗斯,俄罗斯,摩洛哥,国际友谊,2014/6/6 22:00:00,2-0,15,0,0,0.55,9(3),0(0),0,0,8,2018/3/9 09:42:22,2018/3/9 09:42:22
118,1,俄罗斯,挪威,俄罗斯,国际友谊,2014/5/31 22:00:00,1-1,15,1,0,0.55,17(7),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
119,1,俄罗斯,俄罗斯,斯洛伐克,国际友谊,2014/5/26 22:00:00,1-0,14,0,0,0.62,8(2),0(0),0,0,5,2018/3/9 09:42:22,2018/3/9 09:42:22
120,1,俄罗斯,俄罗斯,阿美尼亚,球会友谊,2014/3/5 22:00:00,2-0,18,1,0,0.55,15(7),0(0),0,0,6,2018/3/9 09:42:22,2018/3/9 09:42:22
121,1,俄罗斯,俄罗斯,韩国,球会友谊,2013/11/19 22:00:00,2-1,0,0,0,0,0(0),0(0),0,0,2,2018/3/9 09:42:22,2018/3/9 09:42:22
122,1,俄罗斯,俄罗斯,塞尔维亚,球会友谊,2013/11/16 00:30:00,1-1,0,0,0,0,0(0),0(0),0,0,1,2018/3/9 09:42:22,2018/3/9 09:42:22
123,1,俄罗斯,阿塞拜疆,俄罗斯,欧洲预选,2013/10/16 01:00:00,1-1,13,2,0,0.63,20(8),0(0),0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22
